area_sqft,bedrooms,age,distance_city_km,price
1160,1,89,38.5,10900.0
4072,1,7,9.43,658899.0
3392,3,57,16.25,583881.0
766,5,59,21.33,221580.0
4726,2,49,25.43,727805.0
3744,2,27,12.2,10000000.0
3471,3,91,5.83,577716.0
3219,2,40,30.57,460265.0
430,1,99,14.5,-51317.0
1985,5,63,29.1,384831.0
ten thousand,4,26,7.8,293733.0
2691,2,62,24.11,378936.0
2733,1,16,26.68,417854.0
1484,4,72,2.69,320527.0
4855,5,32,16.9,940232.0
3685,4,83,6.81,-500000.0
4417,1,76,3.26,629330.0
3204,4,91,49.5,465462.0
774,3,28,16.19,176285.0
1382,4,12,40.51,304926.0
2858,2,45,12.81,467663.0
2347,2,34,34.11,
3047,3,5,38.04,548554.0
1275,1,81,29.82,67741.0
2106,2,68,23.63,257626.0
489,5,46,20.65,211038.0
3034,2,24,17.51,497656.0
3305,2,65,46.48,394938.0
4958,1,9,41.55,699500.0
2199,4,55,48.25,327469.0
1567,2,29,6.3,312030.0
1828,3,4,36.57,312599.0
3502,4,32,46.92,556370.0
3856,5,64,9.14,767066.0
4190,1,17,3.42,658871.0
946,5,95,37.08,179547.0
3188,4,48,28.77,588608.0
2735,4,10,42.11,475644.0
900,4,84,7.07,191421.0
2663,5,25,39.78,547391.0
2361,4,62,10.16,482499.0
541,5,88,8.27,167203.0
,4,85,8.3,454955.0
3124,3,58,40.75,458429.0
2912,4,26,33.29,558691.0
1663,5,48,26.2,
1778,2,76,18.01,265645.0
2856,4,32,43.87,486820.0
1075,2,97,19.68,104041.0
4314,3,98,40.85,605226.0
334,1,0,22.01,18220.999999999993
3452,3,20,18.91,627405.0
2255,4,54,23.19,400207.0
1885,2,5,15.14,340047.0
4243,2,91,37.41,592431.0
3373,5,80,25.19,595246.0
1321,2,68,11.69,189456.0
3761,5,94,44.99,588259.0
2913,1,4,19.26,472943.0
4143,4,2,27.22,779628.0
1800,5,52,45.33,316095.0
461,1,22,31.25,8305.0
4597,2,52,5.93,722527.0
2281,2,36,47.0,275382.0
1295,1,73,31.42,71073.0
3642,2,73,16.81,521102.0
4851,1,82,7.05,693040.0
,5,16,39.72,773966.0
1575,5,84,31.04,297998.0
1316,1,77,26.72,100628.0
637,5,72,44.71,105482.0
1178,5,0,39.45,320917.0
1376,5,50,7.67,390222.0
4293,3,44,15.65,
679,4,76,12.5,161700.0
792,2,3,37.22,109496.0
2362,3,61,1.77,442560.0
4184,5,64,28.54,734140.0
364,1,31,38.15,-6622.0
2868,5,33,43.85,505269.0
2327,4,91,17.17,391971.0
2995,5,94,41.08,482777.0
1795,1,71,5.62,212324.0
691,4,38,42.34,161485.0
,5,25,6.46,975380.0
4774,4,33,19.92,859875.0
3861,2,53,39.89,545342.0
2578,2,2,7.58,508262.0
3399,5,49,11.54,664599.0
500,4,11,36.14,142964.0
3404,1,64,36.03,422631.0
