CustomerID,Region,TransactionsCount,LastVisit,StoreCleanliness,StaffHelpfulness,CheckoutEfficiency
7567,West,6,2023-01-06 06:06:00,Average,Good,Average
743,South,7,2023-01-01 12:22:00,Poor,Average,Good
5024,South,6,2023-01-04 11:43:00,Average,Good,Average
6979,West,10,2023-01-05 20:18:00,Average,Average,Good
6215,West,6,2023-01-05 07:34:00,Poor,Average,Good
4151,Northeast,5,2023-01-03 21:10:00,Average,Average,Average
3687,West,1,2023-01-03 13:26:00,Average,Average,Good
3498,West,1,2023-01-03 10:17:00,Average,Good,Average
5025,West,1,2023-01-04 11:44:00,Good,Average,Good
1043,Midwest,4,2023-01-01 17:22:00,Good,Poor,Average
3605,Northeast,5,2023-01-03 12:04:00,Poor,Average,Average
2815,South,9,2023-01-02 22:54:00,Poor,Average,Good
7625,South,4,2023-01-06 07:04:00,Average,Average,Average
379,West,8,2023-01-01 06:18:00,Average,Good,Good
7980,South,3,2023-01-06 12:59:00,Average,Average,Average
3816,South,4,2023-01-03 15:35:00,Poor,Average,Good
4953,Midwest,4,2023-01-04 10:32:00,Good,Average,Poor
8817,South,3,2023-01-07 02:56:00,Good,Good,Average
7683,South,5,2023-01-06 08:02:00,Poor,Poor,Poor
6395,West,4,2023-01-05 10:34:00,Good,Good,Good
6850,Northeast,9,2023-01-05 18:09:00,Average,Poor,Poor
1738,Northeast,1,2023-01-02 04:57:00,Good,Poor,Average
6316,West,7,2023-01-05 09:15:00,Poor,Average,Average
157,South,3,2023-01-01 02:36:00,Good,Average,Average
7077,South,1,2023-01-05 21:56:00,Average,Good,Average
4289,Midwest,5,2023-01-03 23:28:00,Average,Average,Good
3204,West,8,2023-01-03 05:23:00,Good,Poor,Average
571,South,6,2023-01-01 09:30:00,Good,Average,Good
7736,South,11,2023-01-06 08:55:00,Good,Average,Good
1887,Northeast,8,2023-01-02 07:26:00,Average,Average,Poor
2837,West,5,2023-01-02 23:16:00,Good,Good,Average
9926,Northeast,10,2023-01-07 21:25:00,Poor,Average,Average
5298,South,4,2023-01-04 16:17:00,Good,Good,Poor
4567,Midwest,8,2023-01-04 04:06:00,Good,Average,Good
1489,Midwest,7,2023-01-02 00:48:00,Good,Good,Good
6269,Midwest,6,2023-01-05 08:28:00,Average,Average,Average
8766,West,3,2023-01-07 02:05:00,Average,Good,Average
5182,West,6,2023-01-04 14:21:00,Average,Good,Average
8535,South,4,2023-01-06 22:14:00,Average,Average,Average
2304,Midwest,6,2023-01-02 14:23:00,Poor,Good,Good
6822,South,4,2023-01-05 17:41:00,Average,Good,Good
7653,Northeast,5,2023-01-06 07:32:00,Average,Good,Average
5453,Northeast,7,2023-01-04 18:52:00,Average,Good,Good
8739,Northeast,6,2023-01-07 01:38:00,Good,Average,Average
5762,West,8,2023-01-05 00:01:00,Good,Good,Average
3907,South,7,2023-01-03 17:06:00,Average,Good,Good
5196,West,2,2023-01-04 14:35:00,Good,Average,Poor
9840,West,3,2023-01-07 19:59:00,Good,Good,Good
5588,Midwest,6,2023-01-04 21:07:00,Average,Good,Good
