x_input ,target
1,2
2,7
3,12
4,17
5,22
6,27
7,32
8,37
9,42
10,47
11,52
12,57
13,62
14,67
15,72
16,77
17,82
18,87
19,92
20,97
21,102
22,107
23,112
24,117
25,122
26,127
27,132
28,137
29,142
30,147
31,152
32,157
33,162
34,167
35,172
36,177
37,182
38,187
39,192
40,197
41,202
42,207
43,212
44,217
45,222
46,227
47,232
48,237
49,242
50,247
51,252
52,257
53,262
54,267
55,272
56,277
57,282
58,287
59,292
60,297
61,302
62,307
63,312
64,317
65,322
66,327
67,332
68,337
69,342
70,347
71,352
72,357
73,362
74,367
75,372
76,377
77,382
78,387
79,392
80,397
81,402
82,407
83,412
84,417
85,422
86,427
87,432
88,437
89,442
90,447
91,452
92,457
93,462
94,467
95,472
96,477
97,482
98,487
99,492
100,497
101,502
102,507
103,512
104,517
105,522
106,527
107,532
108,537
109,542
110,547
111,552
112,557
113,562
114,567
115,572
116,577
117,582
118,587
119,592
120,597
121,602
122,607
123,612
124,617
125,622
126,627
127,632
128,637
129,642
130,647
131,652
132,657
133,662
134,667
135,672
136,677
137,682
138,687
139,692
140,697
141,702
142,707
143,712
144,717
145,722
146,727
147,732
148,737
149,742
150,747
151,752
152,757
153,762
154,767
155,772
156,777
157,782
158,787
159,792
160,797
161,802
162,807
163,812
164,817
165,822
166,827
167,832
168,837
169,842
170,847
171,852
172,857
173,862
174,867
175,872
176,877
177,882
178,887
179,892
180,897
181,902
182,907
183,912
184,917
185,922
186,927
187,932
188,937
189,942
190,947
191,952
192,957
193,962
194,967
195,972
196,977
197,982
198,987
199,992
200,997
201,1002
202,1007
203,1012
204,1017
205,1022
206,1027
207,1032
208,1037
209,1042
210,1047
211,1052
212,1057
213,1062
214,1067
215,1072
216,1077
217,1082
218,1087
219,1092
220,1097
221,1102
222,1107
223,1112
224,1117
225,1122
226,1127
227,1132
228,1137
229,1142
230,1147
231,1152
232,1157
233,1162
234,1167
235,1172
236,1177
237,1182
238,1187
239,1192
240,1197
241,1202
242,1207
243,1212
244,1217
245,1222
246,1227
247,1232
248,1237
249,1242
250,1247
251,1252
252,1257
253,1262
254,1267
255,1272
256,1277
257,1282
258,1287
259,1292
260,1297
261,1302
262,1307
263,1312
264,1317
265,1322
266,1327
267,1332
268,1337
269,1342
270,1347
271,1352
272,1357
273,1362
274,1367
275,1372
276,1377
277,1382
278,1387
279,1392
280,1397
281,1402
282,1407
283,1412
284,1417
285,1422
286,1427
287,1432
288,1437
289,1442
290,1447
291,1452
292,1457
293,1462
294,1467
295,1472
296,1477
297,1482
298,1487
299,1492
300,1497
301,1502
302,1507
303,1512
304,1517
305,1522
306,1527
307,1532
308,1537
309,1542
310,1547
311,1552
312,1557
313,1562
314,1567
315,1572
316,1577
317,1582
318,1587
319,1592
320,1597
321,1602
322,1607
323,1612
324,1617
325,1622
326,1627
327,1632
328,1637
329,1642
330,1647
331,1652
332,1657
333,1662
334,1667
335,1672
336,1677
337,1682
338,1687
339,1692
340,1697
341,1702
342,1707
343,1712
344,1717
345,1722
346,1727
347,1732
348,1737
349,1742
350,1747
351,1752
352,1757
353,1762
354,1767
355,1772
356,1777
357,1782
358,1787
359,1792
360,1797
361,1802
362,1807
363,1812
364,1817
365,1822
366,1827
367,1832
368,1837
369,1842
370,1847
371,1852
372,1857
373,1862
374,1867
375,1872
376,1877
377,1882
378,1887
379,1892
380,1897
381,1902
382,1907
383,1912
384,1917
385,1922
386,1927
387,1932
388,1937
389,1942
390,1947
391,1952
392,1957
393,1962
394,1967
395,1972
396,1977
397,1982
398,1987
399,1992
400,1997
