word	pos_key	pos_description
lorem	NN	Noun, singular
ipsum	NN	Noun, singular
dolor	NN	Noun, singular
sit	NN	Noun, singular
amet	VBD	Verb, past tense
consectetur	JJ	Adjective
adipisicing	VBG	Verb, gerund or present participle
elit	JJ	Adjective
minus	NN	Noun, singular
dicta	NN	Noun, singular
nemo	NN	Noun, singular
labore	RBR	Adverb, comparative
consequatur	NN	Noun, singular
dolorum	NN	Noun, singular
odit	NN	Noun, singular
maxime	NN	Noun, singular
sequi	NN	Noun, singular
neque	NN	Noun, singular
nesciunt	NN	Noun, singular
sunt	NN	Noun, singular
repellendus	NN	Noun, singular
perspiciatis	NN	Noun, singular
cupiditate	NN	Noun, singular
totam	NN	Noun, singular
sed	VBD	Verb, past tense
provident	JJ	Adjective
et	FW	Foreign word
explicabo	FW	Foreign word
quaerat	FW	Foreign word
corrupti	NN	Noun, singular
laudantium	NN	Noun, singular
fugit	NN	Noun, singular
dolores	VBZ	Verb, 3rd person singular present
vitae	JJ	Adjective
eum	NN	Noun, singular
tempora	NNS	Noun, plural
iste	VBP	Verb, non-3rd person singular present
magnam	JJ	Adjective
excepturi	NN	Noun, singular
animi	NN	Noun, singular
reprehenderit	NN	Noun, singular
libero	NN	Noun, singular
aut	NN	Noun, singular
molestias	JJ	Adjective
adipisci	NN	Noun, singular
voluptas	NNS	Noun, plural
atque	JJ	Adjective
asperiores	NNS	Noun, plural
laboriosam	VBP	Verb, non-3rd person singular present
debitis	NN	Noun, singular
deserunt	NN	Noun, singular
aspernatur	NN	Noun, singular
beatae	NN	Noun, singular
est	JJS	Adjective, superlative
itaque	NN	Noun, singular
hic	JJ	Adjective
numquam	JJ	Adjective
fugiat	NN	Noun, singular
fugit	JJ	Adjective
cupiditate	NN	Noun, singular
veniam	NN	Noun, singular
nam	JJ	Adjective
error	NN	Noun, singular
quae	NN	Noun, singular
voluptatibus	NN	Noun, singular
facilis	NN	Noun, singular
deleniti	NN	Noun, singular
eius	NN	Noun, singular
iusto	NN	Noun, singular
laboriosam	NN	Noun, singular
harum	NN	Noun, singular
