Month,Region,Sales,Profit,Product_Category
Jan,East,43247,12774,Electronics
Feb,West,44300,7287,Furniture
Mar,North,94065,9800,Electronics
Apr,East,29268,12464,Furniture
May,East,32185,10339,Groceries
Jun,West,83704,5282,Furniture
Jul,North,59099,12589,Groceries
Aug,North,28571,3511,Furniture
Sep,East,58044,10986,Electronics
Oct,South,71214,1659,Furniture
Nov,East,81228,3811,Electronics
Dec,East,68984,8098,Furniture
Jan,East,60774,7546,Furniture
Feb,East,22568,10561,Clothing
Mar,West,82592,2986,Electronics
Apr,North,87563,14822,Clothing
May,West,22695,9338,Electronics
Jun,West,68190,12411,Clothing
Jul,West,25258,3911,Groceries
Aug,East,59504,2734,Furniture
Sep,South,53159,2843,Electronics
Oct,North,33986,9680,Electronics
Nov,South,81858,3976,Furniture
Dec,West,32666,2959,Electronics
Jan,West,58660,6759,Electronics
Feb,South,23561,7694,Clothing
Mar,South,46854,3385,Electronics
Apr,South,84505,12111,Groceries
May,West,72251,5736,Groceries
Jun,West,42662,2802,Furniture
Jul,North,28392,9155,Electronics
Aug,North,50535,9120,Furniture
Sep,West,98603,7616,Groceries
Oct,South,72256,6534,Electronics
Nov,South,55222,5061,Electronics
Dec,North,97373,12561,Furniture
Jan,West,99575,14922,Groceries
Feb,North,83335,1262,Electronics
Mar,North,30965,7287,Furniture
Apr,East,44538,9815,Groceries
May,East,90592,10208,Furniture
Jun,East,28110,12835,Clothing
Jul,South,99309,14168,Electronics
Aug,West,47266,3049,Clothing
Sep,West,72992,6423,Groceries
Oct,West,26910,12915,Clothing
Nov,West,20206,5548,Clothing
Dec,East,43419,4108,Groceries
Jan,South,70636,14471,Furniture
Feb,South,70015,13282,Clothing
Mar,East,74268,8158,Furniture
Apr,South,38141,11248,Clothing
May,East,91910,8400,Furniture
Jun,West,76044,4170,Groceries
Jul,East,87214,10874,Clothing
Aug,West,53827,3255,Groceries
Sep,West,75820,2154,Clothing
Oct,North,82623,5499,Groceries
Nov,East,95450,7295,Groceries
Dec,North,42299,7197,Clothing
Jan,East,63585,12383,Clothing
Feb,East,84044,10888,Clothing
Mar,North,62557,13183,Electronics
Apr,North,69080,13915,Furniture
May,East,22693,13874,Electronics
Jun,South,89163,2648,Electronics
Jul,West,45939,6539,Groceries
Aug,North,68925,10637,Clothing
Sep,West,62941,5199,Furniture
Oct,South,41834,13115,Groceries
Nov,South,38047,9445,Electronics
Dec,South,46105,12375,Clothing
Jan,North,95766,3557,Groceries
Feb,South,35707,6592,Clothing
Mar,North,41976,1098,Groceries
Apr,South,64262,3200,Clothing
May,West,43776,3961,Electronics
Jun,West,50080,5973,Furniture
Jul,East,86842,5433,Electronics
Aug,West,81373,12969,Furniture
Sep,East,26776,3869,Clothing
Oct,West,75016,12426,Groceries
Nov,North,29474,12983,Electronics
Dec,West,78053,1956,Furniture
Jan,East,41959,14992,Electronics
Feb,East,25530,13259,Furniture
Mar,South,23748,9352,Electronics
Apr,North,33545,6699,Furniture
May,West,86199,7944,Furniture
Jun,South,54766,5493,Clothing
Jul,West,93530,10492,Furniture
Aug,West,81087,5911,Clothing
Sep,South,88840,4987,Furniture
Oct,South,74384,10719,Groceries
Nov,South,71005,7015,Groceries
Dec,South,66576,14703,Groceries
Jan,South,59353,14446,Furniture
Feb,West,82003,2218,Clothing
Mar,South,72733,5496,Clothing
Apr,North,85318,5735,Furniture
May,East,43664,12296,Groceries
Jun,South,87172,11927,Groceries
Jul,South,46736,5555,Clothing
Aug,West,20854,10146,Groceries
Sep,South,58623,9050,Electronics
Oct,South,27392,13757,Clothing
Nov,South,75680,4446,Groceries
Dec,West,66717,2045,Clothing
Jan,South,70859,7893,Electronics
Feb,East,46309,2693,Clothing
Mar,West,83734,4436,Clothing
Apr,East,90467,9754,Clothing
May,West,72662,11677,Clothing
Jun,South,32688,6895,Electronics
Jul,East,45342,4354,Furniture
Aug,West,57157,1225,Clothing
Sep,North,87863,5893,Clothing
Oct,South,72083,8022,Groceries
Nov,West,85733,10151,Clothing
Dec,North,54698,6600,Groceries
