Trip_Type,Destination_Climate,Trip_Duration,Gender,Planned_Activity,Travel_Type,Accommodation_Type,Essential_Item_Categories
Vacation,Cold,16,Female,Hiking,Train,Hotel,"Outdoor Gear, Clothes"
Vacation,Hot,4,Other,Hiking,Bus,Hostel,"Outdoor Gear, Clothes, Toiletries"
Vacation,Hot,19,Female,Swimming,Bus,Tent,"Clothes, Toiletries"
Adventure,Rainy,7,Female,Shopping,Bus,Airbnb,"Clothes, Gadgets"
Adventure,Rainy,3,Female,Sightseeing,Flight,Tent,"Clothes, Gadgets"
Adventure,Rainy,9,Other,Skiing,Flight,Airbnb,"Outdoor Gear, Clothes, Gadgets"
Adventure,Cold,4,Other,Swimming,Train,Hostel,"Outdoor Gear, Clothes, Toiletries"
Business,Rainy,14,Other,Sightseeing,Bus,Tent,"Documents, Formal Wear, Clothes, Gadgets"
Business,Rainy,14,Female,Swimming,Car,Tent,"Gadgets, Formal Wear, Documents, Toiletries, Clothes"
Business,Rainy,18,Male,Sightseeing,Bus,Airbnb,"Documents, Formal Wear, Clothes, Gadgets"
Adventure,Rainy,5,Female,Shopping,Bus,Tent,"Clothes, Gadgets"
Adventure,Cold,10,Female,Skiing,Bus,Hotel,"Outdoor Gear, Clothes"
Vacation,Hot,5,Other,Shopping,Bus,Airbnb,"Clothes, Toiletries"
Business,Rainy,8,Male,Shopping,Car,Airbnb,"Documents, Formal Wear, Clothes, Gadgets"
Adventure,Hot,13,Other,Shopping,Train,Hostel,"Clothes, Toiletries"
Business,Rainy,9,Female,Meetings,Car,Hostel,"Documents, Formal Wear, Clothes, Gadgets"
Adventure,Cold,3,Male,Sightseeing,Car,Airbnb,"Outdoor Gear, Clothes"
Business,Cold,19,Female,Skiing,Train,Airbnb,"Documents, Outdoor Gear, Formal Wear, Clothes"
Vacation,Cold,13,Female,Hiking,Car,Hostel,"Outdoor Gear, Clothes"
Vacation,Rainy,16,Male,Sightseeing,Bus,Hostel,"Clothes, Gadgets"
Vacation,Hot,4,Female,Meetings,Flight,Hostel,"Documents, Clothes, Toiletries"
Vacation,Cold,6,Male,Swimming,Flight,Tent,"Outdoor Gear, Clothes, Toiletries"
Business,Cold,21,Female,Shopping,Bus,Hotel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Adventure,Rainy,10,Male,Sightseeing,Train,Hotel,"Clothes, Gadgets"
Adventure,Cold,12,Other,Skiing,Bus,Tent,"Outdoor Gear, Clothes"
Business,Rainy,17,Male,Swimming,Train,Hostel,"Gadgets, Formal Wear, Documents, Toiletries, Clothes"
Vacation,Cold,18,Female,Skiing,Flight,Tent,"Outdoor Gear, Clothes"
Adventure,Cold,19,Male,Hiking,Flight,Hostel,"Outdoor Gear, Clothes"
Adventure,Cold,20,Male,Meetings,Bus,Hostel,"Documents, Outdoor Gear, Clothes"
Business,Hot,12,Female,Sightseeing,Bus,Tent,"Documents, Formal Wear, Clothes, Toiletries"
Business,Rainy,9,Male,Skiing,Bus,Tent,"Outdoor Gear, Formal Wear, Documents, Gadgets, Clothes"
Business,Hot,19,Male,Sightseeing,Bus,Hostel,"Documents, Formal Wear, Clothes, Toiletries"
Vacation,Cold,9,Female,Sightseeing,Car,Tent,"Outdoor Gear, Clothes"
Business,Rainy,19,Female,Swimming,Train,Airbnb,"Gadgets, Formal Wear, Documents, Toiletries, Clothes"
Business,Cold,14,Female,Meetings,Bus,Hotel,"Documents, Outdoor Gear, Formal Wear, Clothes"
Adventure,Rainy,16,Male,Meetings,Bus,Tent,"Documents, Clothes, Gadgets"
Business,Hot,10,Other,Meetings,Bus,Airbnb,"Documents, Formal Wear, Clothes, Toiletries"
Adventure,Hot,20,Female,Skiing,Bus,Hostel,"Outdoor Gear, Clothes, Toiletries"
Adventure,Hot,12,Female,Swimming,Car,Tent,"Clothes, Toiletries"
Business,Rainy,2,Female,Shopping,Train,Airbnb,"Documents, Formal Wear, Clothes, Gadgets"
